インデックス,グループ,説明,クエリ,タグ,画像
1,こんなところに著名人,『捃拾帖』には、時の内閣総理大臣や文化人など様々な人物が登場します。明治時代の著名人で検索すると、思わぬ資料と出会えるかもしれません。,伊藤博文,chname:伊藤博文,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/IT%C5%8C_Hirobumi.jpg/440px-IT%C5%8C_Hirobumi.jpg
,,,渋沢栄一,chname:渋沢栄一,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Eiichi_Shibusawa.jpg/800px-Eiichi_Shibusawa.jpg
,,,大隈重信,chname:大隈重信,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Shigenobu_Okuma_5.jpg/440px-Shigenobu_Okuma_5.jpg
,,,牧野富太郎,chname:牧野富太郎,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Makino_Tomitaro.jpg/800px-Makino_Tomitaro.jpg
,,,加藤弘之,chname:加藤弘之,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Kato_Hiroyuki.jpg/400px-Kato_Hiroyuki.jpg
2,明治スイーツの世界,"田中芳男は甘いものが好きだったようで、お菓子の包み紙や広告が多くあります。（そして<a href=""https://da.dl.itc.u-tokyo.ac.jp/portal/assets/7c2275c1-d86a-464f-9cc2-0f32869a26c7?pos=47"">「菓子唱歌」</a>という自作の楽曲もあります。）レトロな広告や老舗菓子店の商品など、明治スイーツの世界をお楽しみください。",羊羹,keyword:羊羹,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Youkan_001.jpg/1280px-Youkan_001.jpg
,,,煎餅,煎餅,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Japanese_Senbeis.jpg/1024px-Japanese_Senbeis.jpg
,,,ビスケット,keyword:ビスケット,https://upload.wikimedia.org/wikipedia/ja/a/a5/%E3%82%AF%E3%83%83%E3%82%AD%E3%83%BC%E3%81%A8%E3%83%93%E3%82%B9%E3%82%B1%E3%83%83%E3%83%88.jpg
,,,キャラメル,keyword:キャラメル,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Caramel-1.jpg/1024px-Caramel-1.jpg
,,,凮月堂,org:凮月堂,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Gaufrette_of_Tokyo_Fugetsudo.jpg/440px-Gaufrette_of_Tokyo_Fugetsudo.jpg
